Words,	Synonyms
attribute, ascribe
disposition, affection
inefficient, unskilled
inappropriate, absurd
unavoidable, ascertained
violate, encroach
undisguised, naive
allude, hint
tasteless, vapid
indigent, destitute
inculcate, inject
tangled, complicated
scheme, conspiracy
genuine, fundamental
accusation, censure
unconquerable, impregnable
irresistible, unconfined
Exquisite, Impeccable
tired, exhausted
dull, boring
frolicsome, cheerful
rejoicing, triumphant
thoughtful, prudent
honest, impartial
defend, exculpate
young, tender
sharp, poignant
relation, species
dishonest, scoundrel
death knell, last blow
complicated difficult,
abundant, excessive
slack, careless
compassionate, merciful
accountable, bound
magnanimous, generous
loiter, prolong
sound, rational
delusion, insanity
attract, entice
palatable, delicious
profuse, abundant
Sluggish, apathetic
Vengefulness, grudge
Imperative, requisite
Gallant, strapping
Stature, Asset
marvelous, extraordinary
alleviate, relieve
humble, courteous
harass, tease
appease, assuage
notable, eventful
irksome, tedious
Nasty, Macabre
liberal, hospitable
dusky, dreary
recalcitrant, insurgent
joint, identical
miser, covetous
prompt, brisk
indifferent, negligent
tyro, beginner
baneful, injurious
cancel, annual
Conceit, Apprehension
profuse, various
impede, prevent
Complaisant, Willing
Arcane, Vague
Stubborn, Adamant
Access, Inherit
Evident, apparent
Malevolent, obnoxious
Abhorrent, obnoxious
latent, ambiguous
descendant, sibling
Menacing, Foreboding
obscure, shady
Idealist,
cryptic, vague
Order, impose
decorative, adorned
eruption, insurrection
offence, maltreatment
Appease, Chasten
Cajole, Impress
Flustered, anxious
Inseminate, fecundate
Pace, Betterment
Precise, Punctual
Vigilance, Discretion
Flatter, indulge
foremost, eminent
matchless, unrivalled
perverse, sullen
flippancy, impudence
petulant, obstinate
tranquil, calm
haughty, arrogant
doubtful, insecure
plight, dilemma
Impostor, deceiver
Queer, strange
seclude, screen
subdue, reduce
equivocate, prevaricate
Incursion, Foray
Quickness, Velocity
Acumen, Bounds
Restless, attacking
Amend, Remedy
Cautious, Averse
Detain, Confine
consent, approve
Destroy, ruin
Recover, liberate
Residue, piece
Censure, protest
Regret, penitence
Annul, abrogate
Displeasure, wrath
Recant, withdraw
Respect, esteem
Vanquish, overthrow
Rural, uncivilized
Remorseless, inhumane
Cherish, Divine
Wild, untamed
Frightened, Shocked
Course, lofty
Immigrant, guest
Magnificent, eminent
Concise, Terse
Tenderness, harmony
Scheme, Entity
Ironical, derisive
Impudent, insolent
Cunning, craftly
scarce, insufficient
Slavish, Docile
miserable, impoverished
defame, malign
mock, scorn
entreat, implore
Deceit, Stratagem
blemish, tarnish
Fake, Counterfeit
intermittent, scattered
Nimble, Brisk
dirty, filthy
Propitious, Felicitous
Barren, Impotent
lethargy, unconsciousness
consequent, following
Considerable, solid
Demolish, sabotage
Partial, shallow
Parasite, flatterer
Prohibit, ban
Reserved, silent
Wearisome. Irksome,
Cool, moderate
Apartment, Digs
Stubborn, Dodge
Assembly, crowd
Diffident, coward
Peaceful, composed
Temporal, transitory
Assertive, forceful
Dishonest, duplicitous
Trifling, insignificant
Violent, riotous
Beginner, riotous
Compliant, Subdued
Incisive, Compact
Chunky, massive
Frugal, prudent
Amicable, Calm
Diaphanous,
Vibrate,
Awkward, ungraceful
Completely, entirely
Chagrin, offense
Boorish, Clownish
Foundling, Orphan
Incite, Implore
Arrogant, egoistic
Wander, roaming
Bravery, prowess
Conceit, pretension
Esteemed, honored
Poison, malevolence
Ingenious, experienced
Corrupt, obnoxious
Cautious, alert
Spirited, Energetic
Malign, Slur
Confirm, consent
Ethic, morality
Eloquent, lucid
Relinquish, remove
Pale, faded
Decline, Dwindle
cautious, circumspect
marry, combine
vicious, immoral
Exert, employ
Trickery, Artifice
Beautiful, Comely
wither, perish
shout, shriek
surrender abdicate,
languish, crave
connect, harness
eagerness, fervor
summit, apex
delight, enthusiasm
-zag oblique, wayward
